"","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","UF","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao"
"3404",3512209,"Conchal","SP",534.119577205882,0,1189,413,0,0,0,0,0,0,1,40,0,0,0,0,2704.09,5043.84
"3405",3512308,"Conchas","SP",526.175806451613,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,2704.09,5043.84
"3406",3512407,"Cordeirópolis","SP",530.454878048781,0,100,0,0,0,0,0,0,0,0,44,0,0,0,0,2704.09,5043.84
"3407",3512506,"Coroados","SP",517.335,0,0,0,0,0,0,0,120,0,0,12,0,0,0,0,2704.09,5043.84
"3408",3512605,"Coronel Macedo","SP",507.996370967742,57,32,0,0,0,0,0,118,0,0,16,0,0,0,0,2704.09,5043.84
"3409",3512704,"Corumbataí","SP",519.37,0,0,0,0,0,0,0,306,0,0,20,0,0,0,0,2704.09,5043.84
"3410",3512803,"Cosmópolis","SP",523.13995215311,0,0,0,0,0,0,0,0,0,7,56,0,393,0,0,2704.09,5043.84
"3411",3512902,"Cosmorama","SP",528.958641975309,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2704.09,5043.84
"3412",3513009,"Cotia","SP",524.480040322581,0,0,0,0,0,0,0,0,0,0,482,0,16297,0,0,2704.09,5043.84
"3413",3513108,"Cravinhos","SP",532.155581947743,0,0,0,0,0,0,0,2234,0,6,39,0,0,0,0,2704.09,5043.84
"3414",3513207,"Cristais Paulista","SP",515.113043478261,0,0,0,267,0,0,0,0,0,42,13,0,0,0,0,2704.09,5043.84
"3415",3513306,"Cruzália","SP",493.480714285714,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,2704.09,5043.84
"3416",3513405,"Cruzeiro","SP",543.321987534626,0,0,0,0,0,0,0,6995,0,4,115,0,2650,0,0,2704.09,5043.84
"3417",3513504,"Cubatão","SP",510.941472624292,0,0,0,1106,0,0,0,0,0,34,292,0,8294,0,0,2704.09,5043.84
"3418",3513603,"Cunha","SP",523.291615853659,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,2704.09,5043.84
"3419",3513702,"Descalvado","SP",534.666792929293,0,0,3,0,0,0,0,3363,0,4,62,0,0,0,0,2704.09,5043.84
"3420",3513801,"Diadema","SP",513.148042012448,0,0,0,0,0,0,0,0,0,0,448,0,40845,0,0,2704.09,5043.84
"3421",3513850,"Dirce Reis","SP",528.746666666667,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,2704.09,5043.84
"3422",3513900,"Divinolândia","SP",524.61891025641,0,0,0,0,0,1,0,327,0,0,21,0,0,0,0,2704.09,5043.84
"3423",3514007,"Dobrada","SP",502.42,0,0,0,0,0,0,0,467,0,0,18,0,0,0,0,2704.09,5043.84
"3424",3514106,"Dois Córregos","SP",528.013083333333,0,0,0,0,34,0,0,0,0,1,50,0,0,0,0,2704.09,5043.84
"3425",3514205,"Dolcinópolis","SP",535.161111111111,0,36,0,0,0,0,0,93,0,0,0,0,0,0,0,2704.09,5043.84
"3426",3514304,"Dourado","SP",541.28343373494,0,0,0,0,0,0,0,798,0,0,18,0,0,0,0,2704.09,5043.84
"3427",3514403,"Dracena","SP",554.220746887967,0,0,1,0,0,0,0,1813,0,1,86,0,0,0,0,2704.09,5043.84
