cod_municipio_ibge,NO_MUNICIPIO_RESIDENCIA,UF,mean_grades_group_cities
1507151,São Domingos do Araguaia,PA,467.64915730337077
1507201,São Domingos do Capim,PA,455.30228395061727
1507300,São Félix do Xingu,PA,460.1506955810147
1507409,São Francisco do Pará,PA,473.84313909774437
1507458,São Geraldo do Araguaia,PA,461.5064016172507
1507466,São João da Ponta,PA,458.2988235294118
1507474,São João de Pirabas,PA,465.93989971346707
1507508,São João do Araguaia,PA,451.91398305084743
1507607,São Miguel do Guamá,PA,470.24449081803004
1507706,São Sebastião da Boa Vista,PA,461.91136363636366
1507755,Sapucaia,PA,451.35
1507805,Senador José Porfírio,PA,455.69807692307694
1507904,Soure,PA,457.5847303634232
1507953,Tailândia,PA,471.88724440116846
1507961,Terra Alta,PA,470.6687788018433
1507979,Terra Santa,PA,456.10315789473685
1508001,Tomé-Açu,PA,459.8669816272966
1508035,Tracuateua,PA,462.9999271137026
1508050,Trairão,PA,459.9357142857143
1508084,Tucumã,PA,476.5669481981982
1508100,Tucuruí,PA,480.6998971518987
1508126,Ulianópolis,PA,473.7388671875
1508159,Uruará,PA,469.37997382198955
1508209,Vigia,PA,468.304847826087
1508308,Viseu,PA,459.21392572944296
1508357,Vitória do Xingu,PA,462.91208609271524
1508407,Xinguara,PA,469.1999027237354
1600055,Serra do Navio,AP,455.765
1600105,Amapá,AP,441.7117521367521
1600154,Pedra Branca do Amapari,AP,452.62708333333336
1600204,Calçoene,AP,448.6
1600212,Cutias,AP,439.79055555555556
1600238,Ferreira Gomes,AP,450.27884615384613
1600253,Itaubal,AP,450.42424242424244
1600279,Laranjal do Jari,AP,466.1812312312312
1600303,Macapá,AP,481.1070197166353
1600402,Mazagão,AP,450.8024948024948
1600501,Oiapoque,AP,451.32111436950146
1600535,Porto Grande,AP,467.38279334500874
1600550,Pracuúba,AP,444.025
1600600,Santana,AP,474.02910990856503
1600709,Tartarugalzinho,AP,448.11782786885243
1600808,Vitória do Jari,AP,454.07578828828827
1700251,Abreulândia,TO,456.7360294117647
1700301,Aguiarnópolis,TO,452.488986013986
1700350,Aliança do Tocantins,TO,477.8330459770115
1700400,Almas,TO,447.16099137931036
1700707,Alvorada,TO,473.2935185185185
1701002,Ananás,TO,465.6457650273224
1701051,Angico,TO,456.19253731343287
1701101,Aparecida do Rio Negro,TO,462.4189393939394
1701309,Aragominas,TO,464.2542613636364
1701903,Araguacema,TO,458.48464285714283
1702000,Araguaçu,TO,470.0247191011236
1702109,Araguaína,TO,491.30617317425884
1702158,Araguanã,TO,457.66478260869565
1702208,Araguatins,TO,482.7740538573508
1702307,Arapoema,TO,461.42847222222224
1702406,Arraias,TO,452.91064593301434
1702554,Augustinópolis,TO,483.4283783783784
1702703,Aurora do Tocantins,TO,467.51380597014924
1702901,Axixá do Tocantins,TO,466.1665540540541
1703008,Babaçulândia,TO,448.71724683544306
1703057,Bandeirantes do Tocantins,TO,452.5872448979592
1703073,Barra do Ouro,TO,459.1371212121212
1703107,Barrolândia,TO,463.76346153846157
1703206,Bernardo Sayão,TO,452.098
1703305,Bom Jesus do Tocantins,TO,458.315625
1703602,Brasilândia do Tocantins,TO,461.37430555555557
1703701,Brejinho de Nazaré,TO,467.5784615384615
1703800,Buriti do Tocantins,TO,466.8407142857143
1703826,Cachoeirinha,TO,446.2
1703842,Campos Lindos,TO,465.8858108108108
1703867,Cariri do Tocantins,TO,481.6736486486487
1703883,Carmolândia,TO,470.5439393939394
1703891,Carrasco Bonito,TO,458.84761904761905
1703909,Caseara,TO,455.83214285714286
1704105,Centenário,TO,432.06304347826085
1704600,Chapada de Areia,TO,446.21590909090907
1705102,Chapada da Natividade,TO,451.880625
1705508,Colinas do Tocantins,TO,496.1125440140845
1705557,Combinado,TO,464.15200892857143
1705607,Conceição do Tocantins,TO,470.42098214285716
1706001,Couto Magalhães,TO,464.17261904761904
1706100,Cristalândia,TO,484.9679906542056
1706258,Crixás do Tocantins,TO,460.3282608695652
1706506,Darcinópolis,TO,457.85072463768114
1707009,Dianópolis,TO,470.79373479318735
1707108,Divinópolis do Tocantins,TO,463.87540983606556
1707207,Dois Irmãos do Tocantins,TO,461.33978873239437
1707306,Dueré,TO,443.7925675675676
1707405,Esperantina,TO,472.29789719626166
1707553,Fátima,TO,455.48796296296297
1707652,Figueirópolis,TO,468.05
1707702,Filadélfia,TO,459.5751953125
1708205,Formoso do Araguaia,TO,477.89351385390427
1708254,Fortaleza do Tabocão,TO,458.8819277108434
1708304,Goianorte,TO,453.0429245283019
1709005,Goiatins,TO,459.64697802197804
1709302,Guaraí,TO,472.50227606461084
1709500,Gurupi,TO,511.6729222074468
1709807,Ipueiras,TO,434.7682926829268
1710508,Itacajá,TO,455.6064285714286
1710706,Itaguatins,TO,465.4966346153846
1710904,Itapiratins,TO,446.95406976744187
1711100,Itaporã do Tocantins,TO,445.537962962963
1711506,Jaú do Tocantins,TO,464.19679487179485
1711803,Juarina,TO,436.85625
1711902,Lagoa da Confusão,TO,467.7351485148515
1711951,Lagoa do Tocantins,TO,444.5735576923077
1712009,Lajeado,TO,472.5525
1712157,Lavandeira,TO,444.76458333333335
1712405,Lizarda,TO,444.622
1712454,Luzinópolis,TO,454.859375
1712504,Marianópolis do Tocantins,TO,453.1625
1712702,Mateiros,TO,443.59166666666664
1712801,Maurilândia do Tocantins,TO,451.47564102564104
1713205,Miracema do Tocantins,TO,474.0303235908142
1713304,Miranorte,TO,461.8069244604317
1713601,Monte do Carmo,TO,458.2814935064935
1713700,Monte Santo do Tocantins,TO,449.2208333333333
1713809,Palmeiras do Tocantins,TO,464.9059523809524
