"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5074",3171709,"Virgínia",0,0,3,0,0,0,0,86,0,4,0,0,0,1,0
"5075",3171808,"Virginópolis",0,0,1,0,0,1,0,193,0,0,0,0,0,0,0
"5076",3171907,"Virgolândia",13,0,3,0,0,0,0,52,0,6,0,0,0,0,0
"5077",3172004,"Visconde do Rio Branco",1799,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"5078",3172103,"Volta Grande",11,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"5079",3172202,"Wenceslau Braz",0,0,0,0,0,0,0,26,0,2,0,0,0,0,0
"5080",3200136,"Águia Branca",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"5081",3200300,"Alfredo Chaves",0,0,3,0,0,0,0,194,0,12,0,0,0,0,0
"5082",3200359,"Alto Rio Novo",0,0,95,0,0,0,0,57,0,7,0,0,0,0,0
"5083",3200409,"Anchieta",0,0,0,0,0,0,0,936,0,0,0,0,0,0,0
"5084",3200508,"Apiacá",27,0,333,0,0,0,0,93,0,5,0,0,0,0,0
"5085",3200607,"Aracruz",0,0,0,0,0,0,0,2351,0,0,0,0,0,0,0
"5086",3200805,"Baixo Guandu",0,0,82,0,0,0,0,716,0,4,0,0,0,0,0
"5087",3201100,"Bom Jesus do Norte",0,0,0,0,0,0,0,311,0,1,0,0,0,0,0
"5088",3201159,"Brejetuba",0,0,144,0,0,0,0,41,0,11,0,0,0,0,0
"5089",3201506,"Colatina",0,0,800,0,0,0,0,11599,1386,0,0,0,0,1,0
"5090",3201605,"Conceição da Barra",0,172,0,0,0,0,0,502,0,12,0,0,0,0,0
"5091",3201704,"Conceição do Castelo",0,0,7,0,0,0,0,93,0,0,0,0,0,0,0
"5092",3201803,"Divino de São Lourenço",0,0,1,0,0,0,0,31,0,1,0,0,0,0,0
"5093",3201902,"Domingos Martins",0,0,23,0,0,0,0,450,0,0,0,0,0,0,0
"5094",3202207,"Fundão",0,0,3,0,0,0,0,684,0,0,0,0,0,0,0
"5095",3202256,"Governador Lindenberg",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"5096",3202306,"Guaçuí",0,0,0,0,0,0,0,1015,0,3,0,0,0,0,0
"5097",3202405,"Guarapari",0,321,0,0,0,0,0,0,956,27,18,0,0,1,0
"5098",3202504,"Ibiraçu",0,0,0,0,0,0,0,227,0,3,0,0,0,0,0
"5099",3202652,"Irupi",0,475,311,0,0,0,0,49,0,6,0,0,0,1,0
"5100",3202702,"Itaguaçu",0,0,0,0,0,0,0,73,0,8,0,0,0,0,0
"5101",3202900,"Itarana",0,0,0,0,0,0,0,54,0,5,0,0,0,0,0
"5102",3203056,"Jaguaré",0,0,2,0,0,0,0,620,0,0,0,0,0,0,0
"5103",3203130,"João Neiva",0,0,0,0,0,0,0,746,0,3,0,0,0,0,0
"5104",3203163,"Laranja da Terra",32,0,0,0,0,0,0,31,0,16,0,0,0,0,0
"5105",3203304,"Mantenópolis",0,0,349,0,0,0,0,211,0,25,0,0,0,0,100
"5106",3203346,"Marechal Floriano",0,0,6,0,0,0,0,653,0,9,0,0,0,0,0
"5107",3203353,"Marilândia",0,318,0,0,0,0,0,49,0,8,0,0,0,0,0
"5108",3203502,"Montanha",0,0,4,0,0,0,0,0,0,3,0,0,0,0,0
"5109",3203601,"Mucurici",0,0,0,0,0,0,0,18,0,6,0,0,0,0,0
"5110",3203908,"Nova Venécia",0,0,0,0,0,0,0,1594,0,0,0,0,0,0,0
"5111",3204005,"Pancas",0,0,151,0,0,0,0,203,0,0,1,0,0,0,0
"5112",3204054,"Pedro Canário",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"5113",3204104,"Pinheiros",281,0,5,0,0,0,0,677,0,11,0,0,0,0,0
"5114",3204203,"Piúma",0,0,0,0,0,0,0,908,0,2,0,0,0,0,0
"5115",3204252,"Ponto Belo",0,0,0,0,0,0,0,97,0,13,0,0,0,0,0
"5116",3204351,"Rio Bananal",0,61,0,0,0,0,0,81,81,0,0,0,0,0,0
"5117",3204500,"Santa Leopoldina",0,248,0,0,0,0,0,59,0,12,0,0,0,0,0
"5118",3204559,"Santa Maria de Jetibá",0,0,0,0,0,0,0,133,0,27,0,0,0,0,0
"5119",3204609,"Santa Teresa",0,0,13,0,0,0,0,212,0,13,1,0,0,0,0
"5120",3204658,"São Domingos do Norte",0,0,1,0,0,0,0,236,0,0,0,0,0,0,0
"5121",3204708,"São Gabriel da Palha",0,0,3,0,0,0,0,1297,0,0,0,0,0,0,0
"5122",3204807,"São José do Calçado",0,0,0,0,0,0,0,288,0,1,0,0,0,0,0
"5123",3204906,"São Mateus",0,0,0,0,0,0,0,2515,0,21,0,0,0,1,0
"5124",3204955,"São Roque do Canaã",0,67,0,0,5,0,0,104,0,5,0,0,0,0,0
"5125",3205010,"Sooretama",0,0,725,0,0,0,0,457,0,161,0,0,0,0,0
"5126",3205150,"Vila Pavão",0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
