"cod_mun","municipio","uf","pib","pib_p_capta"
1303007,"Nhamundá                                                                                                                        ","AM ",167119151,7893.03
1303106,"Nova Olinda do Norte                                                                                                            ","AM ",276297743,7391.99
1303205,"Novo Airão                               Região Metropolitana de Manaus                                                         ","AM ",168559808,8664.53
1303304,"Novo Aripuanã                                                                                                                   ","AM ",211909790,8263.52
1303403,"Parintins                                                                                                                       ","AM ",1177066784,10300.48
1303502,"Pauini                                                                                                                          ","AM ",166411404,8566.43
1303536,"Presidente Figueiredo                    Região Metropolitana de Manaus                                                         ","AM ",957599377,26395.42
1303569,"Rio Preto da Eva                         Região Metropolitana de Manaus                                                         ","AM ",414099476,12417.89
1303601,"Santa Isabel do Rio Negro                                                                                                       ","AM ",152531155,6063.41
1303700,"Santo Antônio do Içá                                                                                                            ","AM ",189423697,8768.8
1303809,"São Gabriel da Cachoeira                                                                                                        ","AM ",357535233,7846.88
1303908,"São Paulo de Olivença                                                                                                           ","AM ",283760783,7220.56
1303957,"São Sebastião do Uatumã                                                                                                         ","AM ",122569748,8742.49
1304005,"Silves                                   Região Metropolitana de Manaus                                                         ","AM ",114322068,12465.61
1304062,"Tabatinga                                                                                                                       ","AM ",616650757,9365.33
1304104,"Tapauá                                                                                                                          ","AM ",194024684,11309.44
1304203,"Tefé                                                                                                                            ","AM ",1022966875,17092.46
1304237,"Tonantins                                                                                                                       ","AM ",147639157,7871.99
1304260,"Uarini                                                                                                                          ","AM ",198160544,14635.2
1304302,"Urucará                                                                                                                         ","AM ",303913891,18695.49
1304401,"Urucurituba                                                                                                                     ","AM ",184017420,7978.21
1400027,"Amajari                                                                                                                         ","RR ",187546053,14656.62
1400050,"Alto Alegre                              Região Metropolitana da Capital                                                        ","RR ",315398478,20335.17
1400100,"Boa Vista                                Região Metropolitana da Capital                                                        ","RR ",10571980090,26482.05
1400159,"Bonfim                                   Região Metropolitana da Capital                                                        ","RR ",337914615,27231.41
1400175,"Cantá                                    Região Metropolitana da Capital                                                        ","RR ",293040831,15982.59
1400209,"Caracaraí                                Região Metropolitana de Central                                                        ","RR ",377974717,17238.65
1400233,"Caroebe                                  Região Metropolitana do Sul do Estado                                                  ","RR ",199389650,19607.6
1400282,"Iracema                                  Região Metropolitana de Central                                                        ","RR ",162279073,13579.84
1400308,"Mucajaí                                  Região Metropolitana da Capital                                                        ","RR ",319301114,17885.01
1400407,"Normandia                                                                                                                       ","RR ",178801512,15837.16
1400456,"Pacaraima                                                                                                                       ","RR ",259024129,14885.59
1400472,"Rorainópolis                             Região Metropolitana do Sul do Estado                                                  ","RR ",611056492,20258.48
1400506,"São João da Baliza                       Região Metropolitana do Sul do Estado                                                  ","RR ",209231106,25512.88
1400605,"São Luiz                                 Região Metropolitana do Sul do Estado                                                  ","RR ",147627753,18485.82
1400704,"Uiramutã                                                                                                                        ","RR ",121661521,11522.07
1500107,"Abaetetuba                                                                                                                      ","PA ",1494985128,9480.05
1500131,"Abel Figueiredo                                                                                                                 ","PA ",85168679,11456.64
1500206,"Acará                                                                                                                           ","PA ",757480288,13625.95
1500305,"Afuá                                                                                                                            ","PA ",370459301,9446.15
1500347,"Água Azul do Norte                                                                                                              ","PA ",434587607,15843.51
1500404,"Alenquer                                                                                                                        ","PA ",571525492,10064.02
1500503,"Almeirim                                                                                                                        ","PA ",544874903,15974.52
1500602,"Altamira                                                                                                                        ","PA ",2778919826,24250.13
1500701,"Anajás                                                                                                                          ","PA ",214508437,7326.86
1500800,"Ananindeua                               Região Metropolitana de Belém                                                          ","PA ",8165793045,15389.79
1500859,"Anapu                                                                                                                           ","PA ",416308195,14926.79
1500909,"Augusto Corrêa                                                                                                                  ","PA ",326462848,7097.33
1500958,"Aurora do Pará                                                                                                                  ","PA ",221602693,7071.37
1501006,"Aveiro                                                                                                                          ","PA ",123618933,7543.26
1501105,"Bagre                                                                                                                           ","PA ",203891530,6647.26
1501204,"Baião                                                                                                                           ","PA ",474767778,10006.49
1501253,"Bannach                                                                                                                         ","PA ",81191658,24708.36
1501303,"Barcarena                                                                                                                       ","PA ",5369310055,43064.73
1501402,"Belém                                    Região Metropolitana de Belém                                                          ","PA ",32405322902,21708.55
1501451,"Belterra                                 Região Metropolitana de Santarém                                                       ","PA ",164294669,9265.43
1501501,"Benevides                                Região Metropolitana de Belém                                                          ","PA ",1560562255,24874.67
1501576,"Bom Jesus do Tocantins                                                                                                          ","PA ",174616814,10283.07
1501600,"Bonito                                                                                                                          ","PA ",160241899,9839.24
1501709,"Bragança                                                                                                                        ","PA ",1164844029,9122.72
1501725,"Brasil Novo                                                                                                                     ","PA ",277023545,18362.96
1501758,"Brejo Grande do Araguaia                                                                                                        ","PA ",81834987,11088.75
1501782,"Breu Branco                                                                                                                     ","PA ",601987637,9114.67
1501808,"Breves                                                                                                                          ","PA ",809322797,7880.38
1501907,"Bujaru                                                                                                                          ","PA ",414517289,14228.93
1501956,"Cachoeira do Piriá                                                                                                              ","PA ",183469384,5412.08
