"municipios","idhm"
"Dom Pedrito (RS)",0.708
"Apiúna (SC)",0.708
"São João Nepomuceno (MG)",0.708
"Itaiópolis (SC)",0.708
"Atilio Vivacqua (ES)",0.708
"Galvão (SC)",0.708
"Pedra do Indaiá (MG)",0.708
"Mirim Doce (SC)",0.708
"Áurea (RS)",0.707
"Jandaia (GO)",0.707
"Conselheiro Mairinck (PR)",0.707
"Itaguajé (PR)",0.707
"Santa Bárbara (MG)",0.707
"Derrubadas (RS)",0.707
"Várzea (PB)",0.707
"São José do Hortêncio (RS)",0.707
"Iracema do Oeste (PR)",0.707
"Arroio do Tigre (RS)",0.707
"Rio Branco (MT)",0.707
"Rancho Alegre (PR)",0.707
"Rio Novo (MG)",0.707
"Iguatama (MG)",0.707
"Montes Claros de Goiás (GO)",0.707
"Matutina (MG)",0.707
"Sul Brasil (SC)",0.707
"Minaçu (GO)",0.707
"Estrela do Norte (GO)",0.707
"Jaguarão (RS)",0.707
"Irati (SC)",0.707
"Leópolis (PR)",0.707
"Itirapuã (SP)",0.707
"Sarapuí (SP)",0.707
"Campos Novos Paulista (SP)",0.706
"Cromínia (GO)",0.706
"Santa Bárbara de Goiás (GO)",0.706
"Planalto (PR)",0.706
"Santa Cruz de Minas (MG)",0.706
"Cachoeira de Minas (MG)",0.706
"Três Barras (SC)",0.706
"Mossâmedes (GO)",0.706
"Ivaté (PR)",0.706
"Campestre da Serra (RS)",0.706
"Caetanópolis (MG)",0.706
"Paim Filho (RS)",0.706
"Santa Juliana (MG)",0.706
"Campo Florido (MG)",0.706
"Cesário Lange (SP)",0.706
"Capanema (PR)",0.706
"Iporã (PR)",0.706
"Princesa (SC)",0.706
"Dionísio Cerqueira (SC)",0.706
"Itatinga (SP)",0.706
"Xambrê (PR)",0.706
"Costa Rica (MS)",0.706
"Caratinga (MG)",0.706
"Hidrolândia (GO)",0.706
"Chuí (RS)",0.706
"Lapa (PR)",0.706
"Joviânia (GO)",0.706
"Novo Horizonte (SC)",0.706
"Novo Barreiro (RS)",0.706
"Laranjeiras do Sul (PR)",0.706
"Doutor Maurício Cardoso (RS)",0.706
"Douradoquara (MG)",0.706
"Ibiraci (MG)",0.706
"Barracão (PR)",0.706
"Santo Antônio do Pinhal (SP)",0.706
"Coxilha (RS)",0.706
"Planaltina do Paraná (PR)",0.705
"Carmo do Paranaíba (MG)",0.705
"Itamonte (MG)",0.705
"Santa Rosa do Sul (SC)",0.705
"União do Oeste (SC)",0.705
"Avanhandava (SP)",0.705
"Guiratinga (MT)",0.705
"Belmonte (SC)",0.705
"Itaju (SP)",0.705
"Jesuítas (PR)",0.705
"Ribeirão Grande (SP)",0.705
"Restinga (SP)",0.705
"Vila Lângaro (RS)",0.705
"Borebi (SP)",0.705
"Bofete (SP)",0.705
"Santa Fé (PR)",0.705
"Santa Tereza do Oeste (PR)",0.705
"Alto Taquari (MT)",0.705
"Inajá (PR)",0.705
"Santa Rosa da Serra (MG)",0.705
"Papanduva (SC)",0.704
"Mateus Leme (MG)",0.704
"Quaraí (RS)",0.704
"Boa Esperança (MG)",0.704
"Nova Marilândia (MT)",0.704
"Campina da Lagoa (PR)",0.704
"São José da Varginha (MG)",0.704
"Lontras (SC)",0.704
"Siqueira Campos (PR)",0.704
"Arenápolis (MT)",0.704
"Canas (SP)",0.704
"Quissamã (RJ)",0.704
"Tabatinga (SP)",0.704
"Araçariguama (SP)",0.704
"Santa Mônica (PR)",0.704
"Nova Xavantina (MT)",0.704
"Parobé (RS)",0.704
"São Miguel do Iguaçu (PR)",0.704
"São Pedro do Paraná (PR)",0.704
"Chapadão do Lageado (SC)",0.704
"Buritinópolis (GO)",0.704
"Cássia (MG)",0.704
"Ladário (MS)",0.704
"Campina Verde (MG)",0.704
"Ibirité (MG)",0.704
"Salto do Itararé (PR)",0.704
"Euclides da Cunha Paulista (SP)",0.704
"Salto Grande (SP)",0.704
"Araruna (PR)",0.704
"Mirassol D'Oeste (MT)",0.704
"Ivolândia (GO)",0.704
"Palma Sola (SC)",0.704
"Rancho Alegre D'Oeste (PR)",0.704
"Alto Araguaia (MT)",0.704
"Caçapava do Sul (RS)",0.704
"Macuco (RJ)",0.703
"Araquari (SC)",0.703
"Itararé (SP)",0.703
"Tapejara (PR)",0.703
"Lagoa Formosa (MG)",0.703
"Três Palmeiras (RS)",0.703
"Uruana (GO)",0.703
"Coxim (MS)",0.703
"Perdigão (MG)",0.703
"Porangaba (SP)",0.703
"Guarantã do Norte (MT)",0.703
"Riolândia (SP)",0.703
"São Pedro do Turvo (SP)",0.703
"Jeriquara (SP)",0.703
"Boa Vista do Cadeado (RS)",0.703
"Iguatu (PR)",0.703
"Francisco Morato (SP)",0.703
"Maria Helena (PR)",0.703
"Fernão (SP)",0.703
"Entre Rios do Sul (RS)",0.703
"Iporanga (SP)",0.703
"Campo Novo (RS)",0.703
"Ibaté (SP)",0.703
"Conceição dos Ouros (MG)",0.703
"Guaçuí (ES)",0.703
"Camapuã (MS)",0.703
"Pontes E Lacerda (MT)",0.703
"Goianápolis (GO)",0.703
"Palma (MG)",0.703
"Castro (PR)",0.703
"Caseiros (RS)",0.703
"Nonoai (RS)",0.702
"Adelândia (GO)",0.702
"Luiziânia (SP)",0.702
"Edealina (GO)",0.702
"Santo Antônio da Alegria (SP)",0.702
"Dionísio (MG)",0.702
"Santo Antônio de Posse (SP)",0.702
"Botelhos (MG)",0.702
"Pontalinda (SP)",0.702
"Itaguaçu (ES)",0.702
"Ariquemes (RO)",0.702
"Correia Pinto (SC)",0.702
"Inhaúma (MG)",0.702
"Viadutos (RS)",0.702
"Morro Redondo (RS)",0.702
"Vitorino (PR)",0.702
"Nortelândia (MT)",0.702
"Paraíba do Sul (RJ)",0.702
"Maria da Fé (MG)",0.702
"Guapirama (PR)",0.702
"Muitos Capões (RS)",0.702
"Campos Altos (MG)",0.702
"Baixo Guandu (ES)",0.702
"Pitanga (PR)",0.702
"Ponta Porã (MS)",0.701
"Barra Bonita (SC)",0.701
"Mariana Pimentel (RS)",0.701
"Primeiro de Maio (PR)",0.701
"Luziânia (GO)",0.701
"Marcelândia (MT)",0.701
"Colinas do Tocantins (TO)",0.701
"Ribeirão do Pinhal (PR)",0.701
"Bom Jesus de Goiás (GO)",0.701
"Senador Canedo (GO)",0.701
"Campo Magro (PR)",0.701
"Morro Grande (SC)",0.701
"Patos (PB)",0.701
"Nova Ponte (MG)",0.701
"Indiara (GO)",0.701
"Travesseiro (RS)",0.701
"Braganey (PR)",0.701
"Araguainha (MT)",0.701
"Presidente Olegário (MG)",0.701
"Taquarituba (SP)",0.701
"Pratânia (SP)",0.701
"Santa Terezinha de Goiás (GO)",0.701
"Eusébio (CE)",0.701
"Alto Garças (MT)",0.701
"Guaranésia (MG)",0.701
"Brasilândia (MS)",0.701
"Brazabrantes (GO)",0.701
"Santa Rosa de Goiás (GO)",0.701
"Florestópolis (PR)",0.701
"Tabaí (RS)",0.701
"São Sebastião da Grama (SP)",0.701
"Ipameri (GO)",0.701
"Nanuque (MG)",0.701
"Castelândia (GO)",0.701
"Dianópolis (TO)",0.701
"Dona Eusébia (MG)",0.701
"Centenário (RS)",0.701
"Teófilo Otoni (MG)",0.701
"Santo Antônio de Jesus (BA)",0.7
"Alto Alegre (SP)",0.7
"Pérola (PR)",0.7
"Boqueirão do Leão (RS)",0.7
"Bocaiúva (MG)",0.7
"Ubarana (SP)",0.7
"Aurilândia (GO)",0.7
"Salgado Filho (PR)",0.7
"Cachoeiras de Macacu (RJ)",0.7
"Andrelândia (MG)",0.7
"Boa Esperança do Iguaçu (PR)",0.7
"Paraíso (SC)",0.7
"Sangão (SC)",0.7
"São Tomás de Aquino (MG)",0.7
"Rolim de Moura (RO)",0.7
"São Roque do Canaã (ES)",0.7
"Santa Mariana (PR)",0.7
"Naviraí (MS)",0.7
"Porto Amazonas (PR)",0.7
"Cacequi (RS)",0.7
"Juquiá (SP)",0.7
"Piraquara (PR)",0.7
"Carmópolis de Minas (MG)",0.7
"Conceição do Pará (MG)",0.7
"Vidal Ramos (SC)",0.7
"Americano do Brasil (GO)",0.7
"Corumbá (MS)",0.7
"Floriano (PI)",0.7
"Ubiretama (RS)",0.7
"Joaquim Távora (PR)",0.7
"Rosário do Sul (RS)",0.699
"Novo Alegre (TO)",0.699
"Jaraguá (GO)",0.699
"Oliveira (MG)",0.699
"Cristalina (GO)",0.699
"Suzanápolis (SP)",0.699
"Vera Cruz do Oeste (PR)",0.699
"Urupema (SC)",0.699
"Mário Campos (MG)",0.699
"Tomazina (PR)",0.699
"Almirante Tamandaré (PR)",0.699
"Vargem (SP)",0.699
"Irineópolis (SC)",0.699
"Alvorada (RS)",0.699
"Lavras do Sul (RS)",0.699
"Trindade (GO)",0.699
"Cambuquira (MG)",0.699
"Barbosa (SP)",0.699
"Silvianópolis (MG)",0.699
"Marzagão (GO)",0.699
"Brochier (RS)",0.699
"Anchieta (SC)",0.699
"Caiçara (RS)",0.699
"Maximiliano de Almeida (RS)",0.699
"Capela do Alto (SP)",0.699
"Cruz das Almas (BA)",0.699
"Novo Brasil (GO)",0.699
"Madre de Deus de Minas (MG)",0.699
"Joanópolis (SP)",0.699
"São Gabriel (RS)",0.699
"Saudade do Iguaçu (PR)",0.699
"Cláudia (MT)",0.699
"Nobres (MT)",0.699
"Douradina (MS)",0.699
"Bom Retiro (SC)",0.699
"Terra Nova do Norte (MT)",0.698
"Campestre (MG)",0.698
"Bela Vista (MS)",0.698
"Guapimirim (RJ)",0.698
"Corumbaíba (GO)",0.698
"Arroio dos Ratos (RS)",0.698
"Jerônimo Monteiro (ES)",0.698
"Santana da Vargem (MG)",0.698
"Abaeté (MG)",0.698
"Claraval (MG)",0.698
"Mariópolis (PR)",0.698
"Cachoeira Dourada (GO)",0.698
"Candiota (RS)",0.698
"Fazenda Vilanova (RS)",0.698
"Picos (PI)",0.698
"Major Gercino (SC)",0.698
"Ribeira (SP)",0.698
"Palmeiras de Goiás (GO)",0.698
"Santa Cecília (SC)",0.698
"Araújos (MG)",0.698
"Nova América da Colina (PR)",0.698
"Guaraci (PR)",0.698
"Água Doce (SC)",0.698
"Igarapé (MG)",0.698
"Passo do Sobrado (RS)",0.698
"Porto Mauá (RS)",0.698
"Canelinha (SC)",0.697
"Miracatu (SP)",0.697
"Cambará do Sul (RS)",0.697
"Damolândia (GO)",0.697
"Aloândia (GO)",0.697
"Arantina (MG)",0.697
"Carandaí (MG)",0.697
"Aparecida do Taboado (MS)",0.697
"Tapira (PR)",0.697
"Areias (SP)",0.697
"Bom Jesus do Sul (PR)",0.697
"Rio das Antas (SC)",0.697
"Comendador Gomes (MG)",0.697
"Ingaí (MG)",0.697
"São Miguel do Passa Quatro (GO)",0.697
"Soledade de Minas (MG)",0.697
"Porciúncula (RJ)",0.697
"Fátima (TO)",0.697
"Guapó (GO)",0.697
"Dona Francisca (RS)",0.697
"Potim (SP)",0.697
"Petrolina (PE)",0.697
"João Pinheiro (MG)",0.697
"Caiuá (SP)",0.697
"Combinado (TO)",0.697
"Turvânia (GO)",0.697
"Manhumirim (MG)",0.697
"Guzolândia (SP)",0.697
"Camaquã (RS)",0.697
"Pinhalão (PR)",0.697
"Maratá (RS)",0.697
"São Luís do Paraitinga (SP)",0.697
"Angélica (MS)",0.697
"Janiópolis (PR)",0.696
"Morada Nova de Minas (MG)",0.696
"Turvolândia (MG)",0.696
"Carmo (RJ)",0.696
"Pracinha (SP)",0.696
"Japira (PR)",0.696
"Ipiranga de Goiás (GO)",0.696
"Balneário Pinhal (RS)",0.696
"Santa Izabel do Oeste (PR)",0.696
"Ipiaçu (MG)",0.696
"Bom Jardim da Serra (SC)",0.696
"Marilândia (ES)",0.696
"Tocos do Moji (MG)",0.696
"Balsa Nova (PR)",0.696
"Vargem Bonita (MG)",0.696
"Estrela do Sul (MG)",0.696
"Barbosa Ferraz (PR)",0.696
"Espírito Santo do Turvo (SP)",0.696
"Cruzeiro da Fortaleza (MG)",0.696
"Alto Paraná (PR)",0.696
"Coronel Martins (SC)",0.696
"Moiporá (GO)",0.696
"São Jerônimo (RS)",0.696
"Brasnorte (MT)",0.696
"Serra do Salitre (MG)",0.696
"Pedro de Toledo (SP)",0.696
"Santo Antônio do Caiuá (PR)",0.696
"Abelardo Luz (SC)",0.696
"Marataízes (ES)",0.696
"Janaúba (MG)",0.696
"Fortuna de Minas (MG)",0.696
"Areiópolis (SP)",0.695
"Tuneiras do Oeste (PR)",0.695
"Capim Branco (MG)",0.695
"Prata (MG)",0.695
"Anahy (PR)",0.695
"Cruzília (MG)",0.695
"Tapes (RS)",0.695
"São João do Sul (SC)",0.695
"Carangola (MG)",0.695
"Sarandi (PR)",0.695
"Elias Fausto (SP)",0.695
"Morro Agudo de Goiás (GO)",0.695
"Iraí de Minas (MG)",0.695
"Cristiano Otoni (MG)",0.695
"Alegria (RS)",0.695
"Tabaporã (MT)",0.695
"Ouro Verde (SC)",0.695
"Araçaí (MG)",0.695
"Pinhal de São Bento (PR)",0.695
"Paraopeba (MG)",0.694
"Deodápolis (MS)",0.694
"Urubici (SC)",0.694
"José Boiteux (SC)",0.694
"São João da Urtiga (RS)",0.694
"Cajati (SP)",0.694
"Governador Lindenberg (ES)",0.694
"Itambaracá (PR)",0.694
"Cabrália Paulista (SP)",0.694
"Coqueiral (MG)",0.694
"Abdon Batista (SC)",0.694
"Camaçari (BA)",0.694
"Piên (PR)",0.694
"Clevelândia (PR)",0.694
"Pequeri (MG)",0.694
"Nova Alvorada do Sul (MS)",0.694
"Juazeiro do Norte (CE)",0.694
"Heitoraí (GO)",0.694
"Santana de Cataguases (MG)",0.694
"Astolfo Dutra (MG)",0.694
"Goianira (GO)",0.694
"Arvorezinha (RS)",0.694
"Muqui (ES)",0.694
"Agudo (RS)",0.694
"São José do Seridó (RN)",0.694
"Campo Alegre de Goiás (GO)",0.694
"Tupanci do Sul (RS)",0.694
"Itaguari (GO)",0.693
"Araçu (GO)",0.693
"Paraty (RJ)",0.693
"Sulina (PR)",0.693
"Rio Pardo (RS)",0.693
"Caiapônia (GO)",0.693
"Lagoinha (SP)",0.693
"Ponte Serrada (SC)",0.693
"São Patrício (GO)",0.693
"Senador Salgado Filho (RS)",0.693
"Itarumã (GO)",0.693
"Rianápolis (GO)",0.693
"São João do Ivaí (PR)",0.693
"Aparecida do Rio Doce (GO)",0.693
"Ipanema (MG)",0.693
"Porto Lucena (RS)",0.693
"Pirenópolis (GO)",0.693
"Itaboraí (RJ)",0.693
"Canarana (MT)",0.693
"Guimarânia (MG)",0.693
"São José da Bela Vista (SP)",0.693
"Cafeara (PR)",0.693
"Independência (RS)",0.693
"Itaberá (SP)",0.693
"Aporé (GO)",0.693
"Guairaçá (PR)",0.693
"Itiquira (MT)",0.693
"Natércia (MG)",0.693
"Barra do Bugres (MT)",0.693
"Coqueiro Baixo (RS)",0.692
"Campos Belos (GO)",0.692
"Cafezal do Sul (PR)",0.692
"Doresópolis (MG)",0.692
"Santana (AP)",0.692
"Ribeirãozinho (MT)",0.692
"Inconfidentes (MG)",0.692
"Córrego Danta (MG)",0.692
"Cerejeiras (RO)",0.692
"São Sebastião da Bela Vista (MG)",0.692
"Bandeira do Sul (MG)",0.692
"São Paulo das Missões (RS)",0.692
"Romelândia (SC)",0.692
"Recreio (MG)",0.692
"Ouro Verde (SP)",0.692
"Bossoroca (RS)",0.692
"Inaciolândia (GO)",0.692
"Aperibé (RJ)",0.692
"Brasópolis (MG)",0.692
"Córrego do Bom Jesus (MG)",0.692
"Querência (MT)",0.692
"Bom Sucesso (MG)",0.692
"Machadinho (RS)",0.692
"Cristais (MG)",0.692
"Feliz Natal (MT)",0.692
"Camaragibe (PE)",0.692
"Caarapó (MS)",0.692
"Dom Pedro de Alcântara (RS)",0.691
"Poço Fundo (MG)",0.691
"Conceição da Aparecida (MG)",0.691
"Irecê (BA)",0.691
"Nova Monte Verde (MT)",0.691
"Itaguara (MG)",0.691
"Marilândia do Sul (PR)",0.691
"Turvelândia (GO)",0.691
"São Fidélis (RJ)",0.691
"Arambaré (RS)",0.691
"Itajá (GO)",0.691
"Santo Antônio da Barra (GO)",0.691
"Currais Novos (RN)",0.691
"Estiva (MG)",0.691
"Candeias (BA)",0.691
"Caxambu do Sul (SC)",0.691
"Iraí (RS)",0.691
"Cambuci (RJ)",0.691
"Eldorado (SP)",0.691
"Mara Rosa (GO)",0.691
"Santarém (PA)",0.691
"Itaúba (MT)",0.69
"São Domingos do Prata (MG)",0.69
"Santa Rita de Caldas (MG)",0.69
"Pilar do Sul (SP)",0.69
"Prudente de Morais (MG)",0.69
"Ilhéus (BA)",0.69
"Camacho (MG)",0.69
"Quatis (RJ)",0.69
"Major Vieira (SC)",0.69
"Curvelândia (MT)",0.69
"Lunardelli (PR)",0.69
"Campo Erê (SC)",0.69
"Porto Vera Cruz (RS)",0.69
"Dom Aquino (MT)",0.69
"Coronel Macedo (SP)",0.69
"Nazareno (MG)",0.69
"Guarda-Mor (MG)",0.69
"Jaru (RO)",0.689
"Pompéu (MG)",0.689
"Muliterno (RS)",0.689
"Sertão Santana (RS)",0.689
"São Gonçalo do Pará (MG)",0.689
"Abadia dos Dourados (MG)",0.689
"Ponte Alta do Norte (SC)",0.689
"Esperança Nova (PR)",0.689
"Prados (MG)",0.689
"Abadiânia (GO)",0.689
"Jardim Alegre (PR)",0.689
"Comodoro (MT)",0.689
"Manhuaçu (MG)",0.689
"Nova Hartz (RS)",0.689
"Terra de Areia (RS)",0.689
"Butiá (RS)",0.689
"Santo Afonso (MT)",0.689
"Rolador (RS)",0.689
"Jequitibá (MG)",0.689
"Figueirópolis (TO)",0.689
"Quatro Irmãos (RS)",0.689
"Carmo da Mata (MG)",0.689
"Camanducaia (MG)",0.689
"Tiradentes do Sul (RS)",0.689
"Jaupaci (GO)",0.689
"São Francisco de Sales (MG)",0.688
"Vespasiano (MG)",0.688
"Porto Barreiro (PR)",0.688
"Querência do Norte (PR)",0.688
"Sarutaiá (SP)",0.688
"São José do Calçado (ES)",0.688
"Biquinhas (MG)",0.688
"Roque Gonzales (RS)",0.688
"Aquidauana (MS)",0.688
"Campinorte (GO)",0.688
"Cristianópolis (GO)",0.688
"Monte Belo (MG)",0.688
"Dom Cavati (MG)",0.688
"Álvaro de Carvalho (SP)",0.688
"Jundiaí do Sul (PR)",0.688
"Italva (RJ)",0.688
"Mangueirinha (PR)",0.688
"Tocantins (MG)",0.688
"Chapada dos Guimarães (MT)",0.688
"Itamarati de Minas (MG)",0.688
"Rolante (RS)",0.688
"Nova Fátima (PR)",0.688
"Nova Guarita (MT)",0.688
"Vila Rica (MT)",0.688
"Novo Cabrais (RS)",0.688
"Santa Cruz de Goiás (GO)",0.688
"Anita Garibaldi (SC)",0.688
"Faxinal (PR)",0.687
"Araguaiana (MT)",0.687
"Dom Viçoso (MG)",0.687
"Jataizinho (PR)",0.687
"Antonina (PR)",0.687
"Salto do Jacuí (RS)",0.687
"Pontalina (GO)",0.687
"Varjão (GO)",0.687
"Santa Lúcia (PR)",0.687
"Rio Azul (PR)",0.687
"Wenceslau Braz (PR)",0.687
"Passa Tempo (MG)",0.687
"Herval (RS)",0.687
"Arenópolis (GO)",0.687
"Abatiá (PR)",0.687
"São Joaquim (SC)",0.687
"Guaraíta (GO)",0.687
"Buriti de Goiás (GO)",0.687
"Balsas (MA)",0.687
"Planalto (RS)",0.687
"São Lourenço do Sul (RS)",0.687
"Marques de Souza (RS)",0.687
"Trindade do Sul (RS)",0.687
"Faria Lemos (MG)",0.687
"Caldas (MG)",0.687
"Parnaíba (PI)",0.687
"Santana do Itararé (PR)",0.687
"Altair (SP)",0.687
"Angelina (SC)",0.687
"Aceguá (RS)",0.687
"Guareí (SP)",0.687
"Maracanaú (CE)",0.686
"Brejinho de Nazaré (TO)",0.686
"Cabo de Santo Agostinho (PE)",0.686
"Belo Oriente (MG)",0.686
"Campo do Tenente (PR)",0.686
"Viana (ES)",0.686
"Águas Lindas de Goiás (GO)",0.686
"Dores de Campos (MG)",0.686
"Ponte Branca (MT)",0.686
"Ipuiúna (MG)",0.686
"Córrego do Ouro (GO)",0.686
"Santo Antônio das Missões (RS)",0.686
"Guanhães (MG)",0.686
"Panamá (GO)",0.686
"Serra Azul (SP)",0.686
"Nova Canaã do Norte (MT)",0.686
"Jóia (RS)",0.686
"Santa Maria da Serra (SP)",0.686
"Bom Sucesso (PR)",0.686
"Mundo Novo (MS)",0.686
"Leoberto Leal (SC)",0.686
"Sidrolândia (MS)",0.686
"Pimenta (MG)",0.686
"Acreúna (GO)",0.686
"General Câmara (RS)",0.686
"Morretes (PR)",0.686
"Vargeão (SC)",0.686
"Espírito Santo do Dourado (MG)",0.685
"Piranguçu (MG)",0.685
"Porto dos Gaúchos (MT)",0.685
"Liberato Salzano (RS)",0.685
"Rio Piracicaba (MG)",0.685
"Santana do Paraíso (MG)",0.685
"Porto Vitória (PR)",0.685
"Conceição da Barra de Minas (MG)",0.685
"Erval Seco (RS)",0.685
"Caldazinha (GO)",0.685
"Arandu (SP)",0.685
"São Francisco de Paula (RS)",0.685
"São João D'Aliança (GO)",0.685
"Teixeira de Freitas (BA)",0.685
"São Vicente do Sul (RS)",0.685
"Ibema (PR)",0.685
"Gramado dos Loureiros (RS)",0.685
"Colorado do Oeste (RO)",0.685
"Fazenda Nova (GO)",0.685
"Resende Costa (MG)",0.685
"Elói Mendes (MG)",0.685
"Terezópolis de Goiás (GO)",0.685
"Comendador Levy Gasparian (RJ)",0.685
"Brasilândia do Tocantins (TO)",0.684
"Areal (RJ)",0.684
"Piraúba (MG)",0.684
"Senador José Bento (MG)",0.684
"Mar de Espanha (MG)",0.684
"Professor Jamil (GO)",0.684
"Batayporã (MS)",0.684
"Miracema do Tocantins (TO)",0.684
"Antônio Prado de Minas (MG)",0.684
"Aragoiânia (GO)",0.684
"Vicentinópolis (GO)",0.684
"Porto Franco (MA)",0.684
"Santa Cruz do Xingu (MT)",0.684
"Aimorés (MG)",0.684
"São José do Barreiro (SP)",0.684
"Cunha (SP)",0.684
"Rochedo de Minas (MG)",0.684
"Eldorado (MS)",0.684
"Belford Roxo (RJ)",0.684
"Fronteira (MG)",0.684
"Porteirão (GO)",0.684
"Itarana (ES)",0.684
"Maçambará (RS)",0.684
"Pilar de Goiás (GO)",0.684
"Catas Altas (MG)",0.684
"Novo Gama (GO)",0.684
"Ribeirão das Neves (MG)",0.684
"Bonfinópolis (GO)",0.683
"Antônio Carlos (MG)",0.683
"Barbalha (CE)",0.683
"Forquetinha (RS)",0.683
"Careaçu (MG)",0.683
"Divinópolis do Tocantins (TO)",0.683
"São Pedro do Iguaçu (PR)",0.683
"Restinga Seca (RS)",0.683
"Paverama (RS)",0.683
"Barra de São Francisco (ES)",0.683
"Quartel Geral (MG)",0.683
"Honório Serpa (PR)",0.683
"Campo do Meio (MG)",0.683
"Tiros (MG)",0.683
"Mozarlândia (GO)",0.683
"Rio Claro (RJ)",0.683
"Ressaquinha (MG)",0.683
"Sete de Setembro (RS)",0.683
"Toropi (RS)",0.683
"Guidoval (MG)",0.683
"Gonçalves (MG)",0.683
"Santa Isabel (GO)",0.683
"Progresso (RS)",0.683
"Denise (MT)",0.683
"Alagoinhas (BA)",0.683
"Bom Jesus do Amparo (MG)",0.683
"Arceburgo (MG)",0.683
"Caucaia (CE)",0.682
"Alexânia (GO)",0.682
"Carmo de Minas (MG)",0.682
"Maquiné (RS)",0.682
"Santa Luzia (PB)",0.682
"Pedreiras (MA)",0.682
"Limoeiro do Norte (CE)",0.682
"Turmalina (MG)",0.682
"Queluzito (MG)",0.682
"Ouro Preto do Oeste (RO)",0.682
"Frei Rogério (SC)",0.682
"Juara (MT)",0.682
"São Domingos do Norte (ES)",0.682
"São José do Rio Claro (MT)",0.682
"Patrocínio do Muriaé (MG)",0.682
"Ametista do Sul (RS)",0.682
"Nova Olímpia (MT)",0.682
"Santa Terezinha do Progresso (SC)",0.682
"Santa Rita de Jacutinga (MG)",0.682
"Campos Gerais (MG)",0.682
"Flor da Serra do Sul (PR)",0.682
"Areia Branca (RN)",0.682
"São Carlos do Ivaí (PR)",0.682
"Jardim Olinda (PR)",0.682
"Formigueiro (RS)",0.682
"Selvíria (MS)",0.682
"Três Barras do Paraná (PR)",0.681
"Rio Bananal (ES)",0.681
"Amorinópolis (GO)",0.681
"Brasilândia do Sul (PR)",0.681
"Nova Glória (GO)",0.681
"Tabuleiro (MG)",0.681
"Conceição da Barra (ES)",0.681
"Sonora (MS)",0.681
"Vila Pavão (ES)",0.681
"Inocência (MS)",0.681
"Itatiba do Sul (RS)",0.681
"Contenda (PR)",0.681
"Tocantinópolis (TO)",0.681
"Marilena (PR)",0.681
"Erval Grande (RS)",0.681
"Quedas do Iguaçu (PR)",0.681
"Jaboticatubas (MG)",0.681
"Roncador (PR)",0.681
"Baependi (MG)",0.681
"Serranópolis (GO)",0.681
"Bela Vista da Caroba (PR)",0.681
"Minas do Leão (RS)",0.681
"Campo Bonito (PR)",0.681
"Gouveia (MG)",0.681
"Boa Esperança do Sul (SP)",0.681
"Bandeirantes (MS)",0.681
"Tapiraí (SP)",0.681
"Descoberto (MG)",0.68
"Entre-Ijuís (RS)",0.68
"Queimados (RJ)",0.68
"Vera (MT)",0.68
"Maripá de Minas (MG)",0.68
"Canitar (SP)",0.68
"Rio das Flores (RJ)",0.68
"Itaóca (SP)",0.68
"Miraí (MG)",0.68
"Carpina (PE)",0.68
"Quitandinha (PR)",0.68
"Nova Santa Bárbara (PR)",0.68
"Arapoema (TO)",0.68
"Esmeralda (RS)",0.68
"Mutunópolis (GO)",0.68
"Lidianópolis (PR)",0.68
"Corinto (MG)",0.68
"Gurinhatã (MG)",0.68
"Mirador (PR)",0.68
"Sapucaí-Mirim (MG)",0.68
"Arapeí (SP)",0.68
"Ilicínea (MG)",0.68
"Corumbá de Goiás (GO)",0.68
"Acari (RN)",0.679
"Boa Esperança (ES)",0.679
"Cajazeiras (PB)",0.679
"Pedra Preta (MT)",0.679
"Matrinchã (GO)",0.679
"Araricá (RS)",0.679
"Guapé (MG)",0.679
"Glaucilândia (MG)",0.679
"Figueirópolis D'Oeste (MT)",0.679
"Lagoa Grande (MG)",0.679
"Dueré (TO)",0.679
"Abreu E Lima (PE)",0.679
"Estrela Velha (RS)",0.679
"Rio Preto (MG)",0.679
"Jaguaraçu (MG)",0.679
"Ipueira (RN)",0.679
"Taquarivaí (SP)",0.679
"Salinas (MG)",0.679
"Rio Branco do Sul (PR)",0.679
"Candeias (MG)",0.678
"Wenceslau Braz (MG)",0.678
"Centralina (MG)",0.678
"Quadra (SP)",0.678
"Pedro Osório (RS)",0.678
"Pinhal Grande (RS)",0.678
"Cedro do Abaeté (MG)",0.678
"Vitória da Conquista (BA)",0.678
"Jaguaré (ES)",0.678
"Bonfinópolis de Minas (MG)",0.678
"Córrego Fundo (MG)",0.678
"Catanduvas (PR)",0.678
"Poxoréo (MT)",0.678
"Alto Paraíso (PR)",0.678
"Sagrada Família (RS)",0.678
"Nova América (GO)",0.678
"Silveiras (SP)",0.678
"Pau dos Ferros (RN)",0.678
"Luminárias (MG)",0.678
"Piedade do Rio Grande (MG)",0.678
"Águia Branca (ES)",0.678
"Nazaré Paulista (SP)",0.678
"Hidrolina (GO)",0.677
"Aurora do Tocantins (TO)",0.677
"Juazeiro (BA)",0.677
"Maurilândia (GO)",0.677
"Figueira (PR)",0.677
"Itatiaiuçu (MG)",0.677
"Guaraciama (MG)",0.677
"Catu (BA)",0.677
"Marabá Paulista (SP)",0.677
"Guarani (MG)",0.677
"Pedra Bela (SP)",0.677
"Guaraniaçu (PR)",0.677
"São Bernardino (SC)",0.677
"Coronel Xavier Chaves (MG)",0.677
