"municipios","idhm"
"Mongaguá (SP)",0.754
"Lauro de Freitas (BA)",0.754
"Corumbataí (SP)",0.754
"Praia Grande (SP)",0.754
"Cunhataí (SC)",0.754
"Guabiruba (SC)",0.754
"Neves Paulista (SP)",0.754
"Esteio (RS)",0.754
"Registro (SP)",0.754
"São Vendelino (RS)",0.754
"Rio Verde (GO)",0.754
"Rodeio (SC)",0.754
"Sinop (MT)",0.754
"Rio do Oeste (SC)",0.754
"Boracéia (SP)",0.754
"Chapadão do Sul (MS)",0.754
"Garopaba (SC)",0.753
"João Neiva (ES)",0.753
"Palmeira D'Oeste (SP)",0.753
"Santo Anastácio (SP)",0.753
"Ajuricaba (RS)",0.753
"Mangaratiba (RJ)",0.753
"Monte Azul Paulista (SP)",0.753
"Rancho Queimado (SC)",0.753
"Estação (RS)",0.753
"Guaíra (SP)",0.753
"Congonhas (MG)",0.753
"Novo Horizonte (SP)",0.753
"Forquilhinha (SC)",0.753
"Tarumã (SP)",0.753
"Magda (SP)",0.753
"Três Fronteiras (SP)",0.753
"Ipeúna (SP)",0.753
"Nicolau Vergueiro (RS)",0.753
"Salvador das Missões (RS)",0.753
"Nilópolis (RJ)",0.753
"Três Marias (MG)",0.752
"Tatuí (SP)",0.752
"Xaxim (SC)",0.752
"Westfalia (RS)",0.752
"Capinzal (SC)",0.752
"Boa Vista (RR)",0.752
"Tunápolis (SC)",0.752
"Monte Belo do Sul (RS)",0.752
"Pranchita (PR)",0.752
"Severiano de Almeida (RS)",0.752
"Aracruz (ES)",0.752
"Lucélia (SP)",0.752
"Araguaína (TO)",0.752
"Enéas Marques (PR)",0.752
"Laguna (SC)",0.752
"Marapoama (SP)",0.752
"Primavera do Leste (MT)",0.752
"Itumbiara (GO)",0.752
"Planalto Alegre (SC)",0.751
"Indiaporã (SP)",0.751
"Guaramirim (SC)",0.751
"Pinhais (PR)",0.751
"Nhandeara (SP)",0.751
"Bastos (SP)",0.751
"Guarujá (SP)",0.751
"Porto Ferreira (SP)",0.751
"Ubatuba (SP)",0.751
"Rancharia (SP)",0.751
"Mirandópolis (SP)",0.751
"Guaxupé (MG)",0.751
"Sertão (RS)",0.751
"Cataguases (MG)",0.751
"Sales (SP)",0.751
"Tapiratiba (SP)",0.751
"Osório (RS)",0.751
"Guaraciaba (SC)",0.751
"Catiguá (SP)",0.751
"Teresina (PI)",0.751
"Foz do Iguaçu (PR)",0.751
"Cambuí (MG)",0.751
"Mandaguari (PR)",0.751
"Turiúba (SP)",0.751
"Américo Brasiliense (SP)",0.751
"Feliz (RS)",0.75
"Bom Despacho (MG)",0.75
"Cruz Alta (RS)",0.75
"Paranaguá (PR)",0.75
"Canoas (RS)",0.75
"Capivari (SP)",0.75
"Bariri (SP)",0.75
"Campo Verde (MT)",0.75
"Água Santa (RS)",0.75
"São João do Pau D'Alho (SP)",0.75
"Presidente Epitácio (SP)",0.75
"Rio Grande da Serra (SP)",0.749
"Embu-Guaçu (SP)",0.749
"União Paulista (SP)",0.749
"Oscar Bressane (SP)",0.749
"São Lourenço do Oeste (SC)",0.749
"Carapicuíba (SP)",0.749
"Xavantina (SC)",0.749
"Betim (MG)",0.749
"Terra Roxa (SP)",0.749
"Artur Nogueira (SP)",0.749
"Peruíbe (SP)",0.749
"Pirajuí (SP)",0.749
"Arcos (MG)",0.749
"Antônio Carlos (SC)",0.749
"Harmonia (RS)",0.749
"Paraíso (SP)",0.749
"Pareci Novo (RS)",0.749
"Campos do Jordão (SP)",0.749
"Laurentino (SC)",0.749
"Linha Nova (RS)",0.749
"Ipuã (SP)",0.749
"Miraselva (PR)",0.748
"Duartina (SP)",0.748
"São João de Iracema (SP)",0.748
"Mondaí (SC)",0.748
"Taquaritinga (SP)",0.748
"Apucarana (PR)",0.748
"São João do Polêsine (RS)",0.748
"Ituporanga (SC)",0.748
"Tanabi (SP)",0.748
"Barra do Garças (MT)",0.748
"Cafelândia (PR)",0.748
"Canela (RS)",0.748
"Cabedelo (PB)",0.748
"Nova Trento (SC)",0.748
"Arapongas (PR)",0.748
"Barão (RS)",0.748
"Cândido Mota (SP)",0.747
"Confins (MG)",0.747
"Cordilheira Alta (SC)",0.747
"Tucunduva (RS)",0.747
"Iturama (MG)",0.747
"Condor (RS)",0.747
"Dourados (MS)",0.747
"Nova Aurora (GO)",0.747
"Jandaia do Sul (PR)",0.747
"Ouvidor (GO)",0.747
"Governador Celso Ramos (SC)",0.747
"Alto Alegre (RS)",0.747
"Sud Mennucci (SP)",0.747
"Brumadinho (MG)",0.747
"Sananduva (RS)",0.747
"Novo Hamburgo (RS)",0.747
"Charqueadas (RS)",0.747
"Teutônia (RS)",0.747
"Elisiário (SP)",0.747
"Floreal (SP)",0.747
"Nova Bassano (RS)",0.747
"Ribeirão do Sul (SP)",0.747
"Astorga (PR)",0.747
"Potirendaba (SP)",0.747
"Ibitinga (SP)",0.747
"General Salgado (SP)",0.747
"Pato Bragado (PR)",0.747
"Tapera (RS)",0.747
"São José do Inhacorá (RS)",0.747
"Paraíso do Norte (PR)",0.746
"Itambé (PR)",0.746
"Capitão (RS)",0.746
"Getúlio Vargas (RS)",0.746
"Mato Leitão (RS)",0.746
"Bady Bassitt (SP)",0.746
"Bom Princípio (RS)",0.746
"Muçum (RS)",0.746
"Coqueiros do Sul (RS)",0.746
"Palmital (SP)",0.746
"Urânia (SP)",0.746
"Colatina (ES)",0.746
"Balneário Arroio do Silva (SC)",0.746
"Doutor Camargo (PR)",0.746
"Borá (SP)",0.746
"Nuporanga (SP)",0.746
"Santa Tereza (RS)",0.746
"Valparaíso de Goiás (GO)",0.746
"Cachoeiro de Itapemirim (ES)",0.746
"Belém (PA)",0.746
"Petrópolis (RJ)",0.745
"Nova Friburgo (RJ)",0.745
"Bozano (RS)",0.745
"Miguel Pereira (RJ)",0.745
"Três Ranchos (GO)",0.745
"Iacanga (SP)",0.745
"Floraí (PR)",0.745
"Junqueirópolis (SP)",0.745
"Rafard (SP)",0.745
"Américo de Campos (SP)",0.745
"Águas de Lindóia (SP)",0.745
"Campo Largo (PR)",0.745
"Mairipotaba (GO)",0.745
"Agudos (SP)",0.745
"Campo Bom (RS)",0.745
"Águas Frias (SC)",0.745
"Urupês (SP)",0.745
"Itanhaém (SP)",0.745
"Echaporã (SP)",0.745
"Perdões (MG)",0.744
"Leme (SP)",0.744
"Formosa (GO)",0.744
"Coronel Barros (RS)",0.744
"Pires do Rio (GO)",0.744
"Santa Helena (PR)",0.744
"Três Corações (MG)",0.744
"Campos de Júlio (MT)",0.744
"Poço das Antas (RS)",0.744
"Paracatu (MG)",0.744
"Vista Alegre do Alto (SP)",0.744
"Uruguaiana (RS)",0.744
"Nova Palma (RS)",0.744
"Dumont (SP)",0.744
"Sorriso (MT)",0.744
"Barra do Jacaré (PR)",0.744
"Lobato (PR)",0.744
"Arealva (SP)",0.744
"Coronel Freitas (SC)",0.744
"Três Lagoas (MS)",0.744
"Mendonça (SP)",0.744
"Torrinha (SP)",0.744
"Rio Grande (RS)",0.744
"São Manuel (SP)",0.744
"Salete (SC)",0.744
"Bento de Abreu (SP)",0.744
"Itápolis (SP)",0.744
"Bicas (MG)",0.744
"Nova Luzitânia (SP)",0.743
"Sobradinho (RS)",0.743
"Capão da Canoa (RS)",0.743
"Mira Estrela (SP)",0.743
"Penha (SC)",0.743
"Caxambu (MG)",0.743
"Iporá (GO)",0.743
"Descanso (SC)",0.743
"Guatapará (SP)",0.743
"Jaguariaíva (PR)",0.743
"Mairinque (SP)",0.743
"Santa Cruz da Esperança (SP)",0.743
"Jacarezinho (PR)",0.743
"São Jorge do Ivaí (PR)",0.743
"Matinhos (PR)",0.743
"Augusto Pestana (RS)",0.743
"Dois Irmãos (RS)",0.743
"Promissão (SP)",0.743
"Marema (SC)",0.743
"Macaubal (SP)",0.743
"Lindóia do Sul (SC)",0.743
"Imigrante (RS)",0.743
"Jussara (GO)",0.743
"Morro Reuter (RS)",0.743
"Irani (SC)",0.742
"Cunha Porã (SC)",0.742
"Bocaina (SP)",0.742
"Ascurra (SC)",0.742
"Lindóia (SP)",0.742
"Dona Emma (SC)",0.742
"São Martinho (SC)",0.742
"Cachoeira do Sul (RS)",0.742
"Lourdes (SP)",0.742
"Chapadão do Céu (GO)",0.742
"Vila Flores (RS)",0.742
"Tio Hugo (RS)",0.742
"Barro Alto (GO)",0.742
"Bom Sucesso do Sul (PR)",0.742
"Itapecerica da Serra (SP)",0.742
"Dolcinópolis (SP)",0.742
"Cafelândia (SP)",0.742
"Pedranópolis (SP)",0.742
"Campos Novos (SC)",0.742
"Vazante (MG)",0.742
"Quatro Barras (PR)",0.742
"Silveira Martins (RS)",0.742
"Mariana (MG)",0.742
"Nova Ramada (RS)",0.742
"Cotiporã (RS)",0.741
"Dirce Reis (SP)",0.741
"Nova Roma do Sul (RS)",0.741
"Miguelópolis (SP)",0.741
"Santos Dumont (MG)",0.741
"João Ramalho (SP)",0.741
"Alfredo Marcondes (SP)",0.741
"Pejuçara (RS)",0.741
"Carneirinho (MG)",0.741
"Anhumas (SP)",0.741
"Motuca (SP)",0.741
"São Luiz Gonzaga (RS)",0.741
"Cachoeira da Prata (MG)",0.741
"Ouro Preto (MG)",0.741
"Agronômica (SC)",0.741
"Bambuí (MG)",0.741
"Jumirim (SP)",0.741
"Içara (SC)",0.741
"Guaraí (TO)",0.741
"Monte Castelo (SP)",0.741
"Teodoro Sampaio (SP)",0.741
"União da Vitória (PR)",0.74
"Mercedes (PR)",0.74
"Quirinópolis (GO)",0.74
"Araucária (PR)",0.74
"Brotas (SP)",0.74
"Sabáudia (PR)",0.74
"Lagoa Santa (GO)",0.74
"Macedônia (SP)",0.74
"Rifaina (SP)",0.74
"Nova Alvorada (RS)",0.74
"Tiradentes (MG)",0.74
"Santa Clara do Sul (RS)",0.74
"Benedito Novo (SC)",0.74
"Santópolis do Aguapeí (SP)",0.74
"Chopinzinho (PR)",0.74
"Bagé (RS)",0.74
"Estiva Gerbi (SP)",0.74
"Almirante Tamandaré do Sul (RS)",0.74
"Arroio do Sal (RS)",0.74
